Date;Annee;Mois;Jour;Temperature_maximum;Temperature_minimum;Temperature_moyenne;Precipitations;;
01/01/2024;2024;1;1;-4.1;-7.5;-5.8;2.4;;
02/01/2024;2024;1;2;1.1;-4.6;-1.8;0;; 
03/01/2024;2024;1;3;2.5;-0.1;1.2;0;;
04/01/2024;2024;1;4;1.8;-11.4;-4.8;1.1;;
05/01/2024;2024;1;5;-1.2;-12.5;-6.9;0;;
06/01/2024;2024;1;6;-2.7;-9.9;-6.3;1.5;;
07/01/2024;2024;1;7;-5.9;-8.7;-7.3;7.5;;
08/01/2024;2024;1;8;-2.3;-7.9;-5.1;0.4;;
09/01/2024;2024;1;9;2.2;-7.2;-2.5;18.7;;
10/01/2024;2024;1;10;6.4;-2.6;1.9;12.6;;
11/01/2024;2024;1;11;-2.6;-6.1;-4.3;0;;
12/01/2024;2024;1;12;-1.9;-8.2;-5;3.5;;
13/01/2024;2024;1;13;2.3;-6.7;-2.2;13.2;;
14/01/2024;2024;1;14;-1;-6.6;-3.8;1;;
15/01/2024;2024;1;15;-4.5;-7.3;-5.9;0.2;;
16/01/2024;2024;1;16;-5.9;-11.2;-8.5;2.4;;
17/01/2024;2024;1;17;-8;-13.3;-10.7;1.4;;
18/01/2024;2024;1;18;-6.1;-10.3;-8.2;0.6;;
19/01/2024;2024;1;19;-9.1;-16.5;-12.8;2.2;;
20/01/2024;2024;1;20;-10.5;-17;-13.7;1;;
21/01/2024;2024;1;21;-9.2;-13.7;-11.5;0.4;;
22/01/2024;2024;1;22;-0.4;-11.6;-6;0;;
23/01/2024;2024;1;23;-0.2;-9.4;-4.8;0.2;;
24/01/2024;2024;1;24;-4.2;-10.3;-7.2;2.3;;
25/01/2024;2024;1;25;1.1;-4.5;-1.7;6.5;;
26/01/2024;2024;1;26;0.8;-0.6;0.1;6.8;;
27/01/2024;2024;1;27;4.1;-0.9;1.6;2.4;;
28/01/2024;2024;1;28;2.3;-0.1;1.1;0;;
29/01/2024;2024;1;29;0.2;-4.2;-2;0;;
30/01/2024;2024;1;30;-4.2;-9.9;-7;0.7;;
31/01/2024;2024;1;31;2.5;-7.2;-2.4;0;;
01/02/2024;2024;2;1;2.9;0.5;1.7;1.3;;
02/02/2024;2024;2;2;0.8;-4.7;-1.9;0.7;;
03/02/2024;2024;2;3;-2.7;-7.6;-5.2;0.8;;
04/02/2024;2024;2;4;0;-10.4;-5.2;4.7;;
05/02/2024;2024;2;5;1.5;-10.5;-4.5;6;;
06/02/2024;2024;2;6;0.1;-7.3;-3.6;2.2;;
07/02/2024;2024;2;7;-0.2;-9.9;-5;1.7;;
08/02/2024;2024;2;8;5.5;-1;2.3;1.9;;
09/02/2024;2024;2;9;6.8;-0.8;3;9.2;;
10/02/2024;2024;2;10;7.8;2.3;5.1;1.2;;
11/02/2024;2024;2;11;3.8;1.5;2.7;0;;
12/02/2024;2024;2;12;2.1;-3.5;-0.7;0.2;;
13/02/2024;2024;2;13;3.4;-6.8;-1.7;4.6;;
14/02/2024;2024;2;14;-4.3;-10.7;-7.5;0.7;;
15/02/2024;2024;2;15;-3.1;-10.2;-6.6;3;;
16/02/2024;2024;2;16;-2.1;-8.4;-5.2;2;;
17/02/2024;2024;2;17;-7.6;-14.1;-10.8;0.9;;
18/02/2024;2024;2;18;-1.1;-14;-7.6;1.8;;
19/02/2024;2024;2;19;-6.2;-14.5;-10.3;1.9;;
20/02/2024;2024;2;20;-4.9;-13;-8.9;3.6;;
21/02/2024;2024;2;21;4.4;-12.4;-4;0.8;;
22/02/2024;2024;2;22;3.3;0.2;1.8;0.5;;
23/02/2024;2024;2;23;7;-9.9;-1.5;0.8;;
24/02/2024;2024;2;24;-7.9;-15.6;-11.7;0.7;;
25/02/2024;2024;2;25;1.3;-12.1;-5.4;1.6;;
26/02/2024;2024;2;26;5.5;-1.2;2.1;3.3;;
27/02/2024;2024;2;27;15.1;-0.9;7.1;0.8;;
28/02/2024;2024;2;28;14.1;-11.9;1.1;8.7;;
29/02/2024;2024;2;29;-8;-12.5;-10.2;0.5;;
01/03/2024;2024;3;1;0.1;-12.3;-6.1;0.6;;
02/03/2024;2024;3;2;4.5;-5.8;-0.6;2.8;;
03/03/2024;2024;3;3;9.5;0.4;4.9;2.7;;
04/03/2024;2024;3;4;9.3;0;4.6;0.5;;
05/03/2024;2024;3;5;14.1;0.4;7.3;1;;
06/03/2024;2024;3;6;6.6;3.7;5.2;5.2;;
07/03/2024;2024;3;7;8.6;0.5;4.5;2.4;;
08/03/2024;2024;3;8;7;-1.8;2.6;0.9;;
09/03/2024;2024;3;9;7.9;0.8;4.4;11.3;;
10/03/2024;2024;3;10;3.1;-3.2;0;17.4;;
11/03/2024;2024;3;11;3.2;-3.1;0;0.7;;
12/03/2024;2024;3;12;8.7;-1.9;3.4;0;;
13/03/2024;2024;3;13;7.1;-1.9;2.6;0.4;;
14/03/2024;2024;3;14;11.8;0;5.9;0.2;;
15/03/2024;2024;3;15;11.9;3.7;7.8;2;;
16/03/2024;2024;3;16;6.8;1.4;4.1;2.5;;
17/03/2024;2024;3;17;8.1;2;5;4.6;;
18/03/2024;2024;3;18;3.5;-1;1.2;1.7;;
19/03/2024;2024;3;19;1.3;-4.1;-1.4;0.8;;
20/03/2024;2024;3;20;4.9;-4.7;0.1;1.3;;
21/03/2024;2024;3;21;-3.2;-9.1;-6.2;0.2;;
22/03/2024;2024;3;22;-3.6;-11.3;-7.4;0.2;;
23/03/2024;2024;3;23;-3.9;-11.1;-7.5;3.3;;
24/03/2024;2024;3;24;1;-10.8;-4.9;0.9;;
25/03/2024;2024;3;25;7.6;-4.8;1.4;1;;
26/03/2024;2024;3;26;11.9;0.2;6;0.8;;
27/03/2024;2024;3;27;13.9;4.9;9.4;1.9;;
28/03/2024;2024;3;28;9.2;2.8;6;0.2;;
29/03/2024;2024;3;29;9.8;-1.2;4.3;1.2;;
30/03/2024;2024;3;30;6.6;-0.8;2.9;0;;
31/03/2024;2024;3;31;9.9;2.2;6.1;0.9;;
01/04/2024;2024;4;1;11.1;-0.3;5.4;0.5;;
02/04/2024;2024;4;2;11.4;-1.7;4.8;1.1;;
03/04/2024;2024;4;3;10.1;0.3;5.2;15.6;;
04/04/2024;2024;4;4;1.5;-1.7;-0.1;16.3;;
05/04/2024;2024;4;5;5.3;0.9;3.1;5.6;;
06/04/2024;2024;4;6;8;1.6;4.8;0.3;;
07/04/2024;2024;4;7;11.8;-1.6;5.1;0.7;;
08/04/2024;2024;4;8;18;3.2;10.6;1.2;;
09/04/2024;2024;4;9;18.1;4.2;11.1;0.9;;
10/04/2024;2024;4;10;18.3;5.4;11.8;0;;
11/04/2024;2024;4;11;13.2;7.7;10.4;12.1;;
12/04/2024;2024;4;12;22.2;9.3;15.7;15.1;;
13/04/2024;2024;4;13;10.6;3.5;7;1.9;;
14/04/2024;2024;4;14;11.3;2.8;7;1.4;;
15/04/2024;2024;4;15;14.8;5.3;10;1.1;;
16/04/2024;2024;4;16;12.2;3;7.6;0.6;;
17/04/2024;2024;4;17;9.5;1.4;5.5;0;;
18/04/2024;2024;4;18;11.1;5.5;8.3;5.3;;
19/04/2024;2024;4;19;13;6.4;9.7;1.7;;
20/04/2024;2024;4;20;10.9;4.4;7.7;0.4;;
21/04/2024;2024;4;21;8.9;-0.2;4.3;0;;
22/04/2024;2024;4;22;8.8;-2.9;2.9;0.4;;
23/04/2024;2024;4;23;19.8;1.1;10.5;2.7;;
24/04/2024;2024;4;24;10;-1.9;4;13.2;;
25/04/2024;2024;4;25;8.7;-4.3;2.2;1;;
26/04/2024;2024;4;26;13.9;-1;6.4;1.2;;
27/04/2024;2024;4;27;19.9;5;12.5;0.6;;
28/04/2024;2024;4;28;17.6;7.4;12.5;7.2;;
29/04/2024;2024;4;29;13.6;5.5;9.6;0.2;;
30/04/2024;2024;4;30;9;4.8;6.9;25.6;;
01/05/2024;2024;5;1;15.4;5;10.2;0.4;;
02/05/2024;2024;5;2;13.6;8.4;11;4.3;;
03/05/2024;2024;5;3;19.7;8.8;14.2;0.2;;
04/05/2024;2024;5;4;19.3;9.2;14.3;1;;
05/05/2024;2024;5;5;14.2;10.1;12.1;11.5;;
